question,level
What is DRAM? What are its  advantages and disadvantages?,Knowledge
Define Exception.,Knowledge
Enlist the feature of the Programmable Interrupt Controller Intel 82C59A.,Knowledge
A badminton hall to be provided with a lighting installation.,Application
Calculate the atomic packaging factor for FCC and HCP crystal structure.,Application
Explain different collapse mechanisms in plastic analysis with diagram.,Knowledge
What is the criterion of chemical reaction equilibria?,Knowledge
What are various types of air conditioning systems?,Knowledge
Explain in detail combined diffuse and specular reflections with multiple light sources.,Analysis
Explain how to use a particular package in a Java program.,Comprehension
What is neutral axis in case of bending?,Knowledge
Explain in brief the Indirect screen stencil making process.,Knowledge
Explain the system address and system segment registers.,Comprehension
Explain with neat diagram - Single Electron Transistor (SET),Knowledge
Implement a program for maintaining a database of student records using Files.,Application
What is Age Hardening?,Knowledge
Differentiate between following.,Analysis
Differentiate between Battery EV and Hybrid EV.,Knowledge
What do you mean by Totem Pole output?,Knowledge
Derive the condition for maximum starting torque of 3 phase induction motors with usual notations.,Analysis
Draw and explain circuit for generating 15V supply using IC7815.,Comprehension
What is Additive Manufacturing?,Knowledge
"Compare the project by NPV and B/C ratio method and state its feasibility if project cost is Rs. 2,80,000 and it has net cash flow of Rs. 90,000 fora peiod 4 years. Firm expect returns 10% per annum.",Application
Explain the functions of following pins of ADC 0809.,Comprehension
Explain the use of BSR mode of 8255.,Comprehension
A beam of length 5 m and of uniform rectangular section is simply supported at its ends.,Application
Define annealing and explain types of annealing?,Knowledge
What is a deadlock?,Knowledge
Define Queue.,Knowledge
Draw and explain DMA block diagram.,Knowledge
A feedback control system is described as.,Knowledge
Explain flat type solar collector and its application.,Knowledge
What is fluidization?,Knowledge
Explain Intrusion Detection System with merits and demerits.,Application
20% of bolts produced by a machine are defective. Determine the probability that out of 4 bolts. Chosen at random:,Application
Explain any Electric vehicle in detail.,Knowledge
How do you express the life of a bearing?,Knowledge
Define the terms in solar energy system.,Knowledge
What is basic principle of working piezoelectric pressure sensors?,Knowledge
Draw circuit diagram of frequency multiplier using PLL and explain in detial.,Comprehension
Illustrate process reaction curve tuning method in detail.,Comprehension
Explain the working of PV cell and Simplest Equivalent Circuit for a Photovoltaic Cell.,Knowledge
What are the problems of managing data resources in a traditional file environment?,Knowledge
"Find the directional derivative of 2xyy z  at the point (1, –1, 1) to wards point (2, 1, 2).",Application
Explain the following operations performed on lathe with suitable sketch.,Analysis
Explain vacuum bag moldig composite manufacturing process.,Knowledge
Describe Packet format of IPv6 in detail with suitable diagram.,Analysis
Explain CAD geometry cleanup and tools used for it.,Knowledge
Describe Cloud of Things.,Knowledge
Write a pseudo code for binary search apply you algorithm on the following no.,Analysis
Explain name space with example.,Knowledge
State and write any six properties of Fourier Transform.,Knowledge
Illustrate difference between conflict serializable schedule and view serializable schedual by an appropriate example.,Knowledge
Illustrate the following Map methods with an example.,Comprehension
What is spur gear?,Knowledge
Describe and explain the various methods used for gene transfer to plant cells.,Analysis
Explain Design issues of Super scalar processor.,Comprehension
State the circumstances under which you will use the following types of stairs.,Application
Describe with neat diagram - Nano wires.,Knowledge
Explain requirements of a good building stone.,Knowledge
A column support load of 400 KN is shown in figure 8.,Application
With the help of diagram explain the diesel power plant.,Comprehension
Draw schematic diagram of EDM.,Application
Write the short note on application of PLL,Knowledge
Explain how GIS is an important tool for civil engineers.,Comprehension
Describe photo interpretation elements of aerial photographs.,Knowledge
Explain Java history in detail.,Comprehension
What are zeolites?,Knowledge
Describe in brief any one method for the speed control of a three phase induction motor.,Knowledge
What is sequential logic circuits?,Knowledge
What  is Software Architecture?,Knowledge
The probability of a man hitting a target is 1 3.,Application
Determine the vertical and horizontal deflection at point ‘C’ for the truss shown below.,Application
Define the following terms with suitable example.,Comprehension
Explain impact of temperature and insolation on I-V curves of PV cells.,Knowledge
Construct a binary tree from the given traversal.,Application
Draw and explain the block diagram of LM 337 and list the specification of it?,Knowledge
Write down program to overload unary operators?,Application
Explain the behaviour of ferromagnetic material under curie temperature.,Knowledge
Differentiate TTL and CMOS logic family.,Analysis
Define Inheritance.,Knowledge
Explain Register organization of microprocessor 8086.,Knowledge
What does inheritance mean in C++? Give an example of each.,Knowledge
The initial tension in a flat belt drive is 1800N.,Application
What is dynamic data structure?,Knowledge
Explain principle of resistance welding.,Comprehension
State & explain along with diagram Law of intermediate temperatures and law of intermediate metals of thermocouple. comment on relationship between temperature & output voltage.,Knowledge
Define multithreading?,Knowledge
What is doubly linked list?,Knowledge
Explain in brief procedure of setting out of tunnel centreline and transferring underground?,Application
Differentiate between NBFM and WBFM.,Knowledge
With neat waveforms explain the ALT and CHOP modes in dual trace oscilloscope.,Comprehension
Write short note on CASE TOOLS for software development.,Knowledge
Write short note on external sort.,Knowledge
Explain the concept of transaction.,Knowledge
Explain 1860 with block diagram.,Comprehension
Use the Seidel method to solve the following set of equations.,Application
